ProductID,ProductName,Category,Price
1,Wireless Mouse,Electronics,25.99
2,USB-C Cable,Accessories,9.99
3,Office Chair,Furniture,149.99
4,Monitor,Electronics,199.99
5,Desk Lamp,Home Decor,45.99
6,Laptop Stand,Accessories,29.99
7,Keyboard,Electronics,39.99
8,Notepad,Stationery,5.99
9,Water Bottle,Home & Kitchen,15.99
10,Portable Charger,Electronics,49.99
11,Blender,Home & Kitchen,99.99
12,Headphones,Electronics,79.99
13,Coffee Maker,Home & Kitchen,89.99
14,Air Fryer,Home & Kitchen,129.99
15,Smartphone Case,Accessories,14.99
16,Wireless Earbuds,Electronics,89.99
17,Wall Clock,Home Decor,29.99
18,Backpack,Accessories,39.99
19,Phone Stand,Accessories,19.99
20,Desk Organizer,Furniture,34.99
21,LED Strip Lights,Home Decor,20.99
22,Tablet,Electronics,299.99
23,Smartwatch,Electronics,199.99
24,Dishwasher,Home Appliances,499.99
25,Lawn Mower,Outdoor,349.99
26,Patio Set,Outdoor,499.99
27,Air Conditioner,Home Appliances,299.99
28,Electric Kettle,Home Appliances,39.99
29,Vacuum Cleaner,Home Appliances,149.99
